,0
2018-05-08,0.0031886795634892386
2018-05-09,0.015570419079570644
2018-05-10,0.011301079450067034
2018-05-11,-0.0030576745145097254
2018-05-14,0.00413755784886742
2018-05-15,-0.008777365219171437
2018-05-16,0.009425388948121062
2018-05-17,-0.004735712538135095
2018-05-18,-0.006893421462769867
2018-05-21,0.010040148739578477
2018-05-22,-0.0010995194019728781
2018-05-23,0.005777267621078937
2018-05-24,0.004063386038705375
2018-05-25,-0.0016241699899185794
2018-05-28,-0.0051333165153780785
2018-05-29,-0.0051333165153780785
2018-05-30,0.013695450883898088
2018-05-31,-0.011840113320843849
2018-06-01,0.017083608267101653
2018-06-04,0.0008035410117182705
2018-06-05,0.0007910845404964028
2018-06-06,0.014277643015828342
2018-06-07,-0.004389275455478134
2018-06-08,0.005469160909018616
2018-06-11,0.003546662724463386
2018-06-12,0.0012086110011708204
2018-06-13,-0.0031829300585581046
2018-06-14,-0.0007045791799029756
2018-06-15,-0.004618402232067028
2018-06-18,0.0006943542298202205
2018-06-19,-0.009127199839917069
2018-06-20,0.005873216407991678
2018-06-21,-0.012848748361182421
2018-06-22,-0.00042552907275723953
2018-06-25,-0.01672803832500182
2018-06-26,0.006836291936014958
2018-06-27,-0.007006917250163078
2018-06-28,0.007369063068872106
2018-06-29,0.007962449329405192
2018-07-02,0.0014300434484897308
2018-07-03,-0.010425359136241246
2018-07-04,-0.010425359136241246
2018-07-05,0.008603712440980847
2018-07-06,0.012628705573336577
2018-07-09,0.01403828924224255
2018-07-10,0.004966690645996961
2018-07-11,-0.014213066182955359
2018-07-12,0.013719585838883731
2018-07-13,-0.0011766966657306317
2018-07-16,-0.0011982600788762979
2018-07-17,0.006088676107904264
2018-07-18,0.0045287633474031235
2018-07-19,-0.007307536801576674
2018-07-20,-0.007768860587950869
2018-07-23,-0.005887717827184957
2018-07-24,0.0016814957432099886
2018-07-25,0.006492403208203789
2018-07-26,0.014081783136340082
2018-07-27,-0.0059069705927520776
2018-07-30,-0.006098293687579748
2018-07-31,0.009906156923162386
2018-08-01,-0.003691922642054975
2018-08-02,0.006483411281064979
2018-08-03,0.0017135264468477345
2018-08-06,0.0032213274890057937
2018-08-07,0.005001349295160097
2018-08-08,-0.001995696218081135
2018-08-09,-0.003167347401826632
2018-08-10,-0.003407350220835585
2018-08-13,-0.0008969426490321002
2018-08-14,0.0007932139721514941
2018-08-15,-0.004868521862300882
2018-08-16,0.0026482972518420394
2018-08-17,-0.0032424703883700123
2018-08-20,0.0021344765036965577
2018-08-21,0.005643140798037522
2018-08-22,0.0003242167220073662
2018-08-23,-0.00012259293704308408
2018-08-24,0.006359945851576992
2018-08-27,0.0060039967593214835
2018-08-28,-0.00030919355272515507
2018-08-29,0.001588970493587536
2018-08-30,-0.0029997254867739926
2018-08-31,0.0009923491941605303
2018-09-03,-0.001087553899083595
2018-09-04,-0.001087553899083595
2018-09-05,-0.0013402602843296239
2018-09-06,-0.004062515014684941
2018-09-07,-0.0007575534015911037
2018-09-10,0.008491064250276823
2018-09-11,-0.001365251989415655
2018-09-12,0.0038625894157856117
2018-09-13,0.0019246391318025306
2018-09-14,0.0033947357842632063
2018-09-17,-0.0031665304650823744
2018-09-18,0.0014180400885849965
2018-09-19,0.0011377117519126522
2018-09-20,0.0022850275126047957
2018-09-21,-0.00040062738662711755
2018-09-24,-0.0006089760615325371
2018-09-25,-0.0013616471487034067
2018-09-26,-5.121117065616589e-05
