return_lower,return_upper,scale_factor,sharpe,annual_return,annual_volatility,max_drawdown,win_rate,window_sharpes,min_sharpe
-0.02,0.0,0.6,2.5096473263993366,0.4146982638095696,0.1652416494729358,-0.14599990029842652,0.4966887417218543,"[1.0079420388285618, 4.045104961836482, 3.305804833798754]",1.0079420388285618
-0.02,0.0,0.7,2.080129502720058,0.3529046763140804,0.1696551468803306,-0.1580753021183672,0.4966887417218543,"[0.6610746858626505, 3.530156387228752, 2.784367544533026]",0.6610746858626505
-0.02,0.01,0.3,1.7277730398820303,0.2422553512310025,0.14021248488027302,-0.1416453792187376,0.4966887417218543,"[0.504586459460633, 3.3665957833512015, 2.266737728097754]",0.504586459460633
-0.02,0.01,0.4,1.606071496713135,0.23157943160194677,0.1441899890981689,-0.14550725308495763,0.4966887417218543,"[0.37317925801040486, 3.1954151760932823, 2.1422569460164835]",0.37317925801040486
-0.02,0.01,0.5,1.4813224241065581,0.22090351197289115,0.14912588129226928,-0.14937025539902782,0.4966887417218543,"[0.2454928975662026, 3.0115173134969937, 2.009985242175717]",0.2454928975662026
-0.02,0.01,0.6,1.3569322143793638,0.21022759234383545,0.15492858826407163,-0.15323426635395196,0.4966887417218543,"[0.12304938666227155, 2.823779964346553, 1.8759334189335495]",0.12304938666227155
-0.02,0.01,0.7,1.235578071786662,0.19955167271477986,0.16150470558790794,-0.1645912485798456,0.4966887417218543,"[0.006949224379994289, 2.6388738120276463, 1.7445806136616562]",0.006949224379994289
-0.02,0.02,0.3,-0.29316901726892886,-0.033695939704033125,0.11493690574104315,-0.25088397665773976,0.4966887417218543,"[-1.306166468351231, 0.8227802676734743, 0.5006758343299023]",-1.306166468351231
-0.02,0.02,0.4,-0.040636326060107225,-0.0049502463423694056,0.1218182552981598,-0.23827627492960846,0.4966887417218543,"[-1.138092801769424, 1.196704954053913, 0.7310427861757454]",-1.138092801769424
-0.02,0.02,0.5,0.18289829452987683,0.023795447019294275,0.13010207164838947,-0.22565645797174205,0.4966887417218543,"[-0.97374192762394, 1.476324361665282, 0.9144684659901168]",-0.97374192762394
-0.02,0.02,0.6,0.3765342639301161,0.05254114038095796,0.13953880274414943,-0.21303097758225487,0.4966887417218543,"[-0.8169722696407475, 1.6854310206457335, 1.0586402495432528]",-0.8169722696407475
-0.02,0.02,0.7,0.5422343765866732,0.08128683374262168,0.14991088218035256,-0.2004064057224083,0.4966887417218543,"[-0.6702179852267163, 1.8437096334467333, 1.1718793771899494]",-0.6702179852267163
-0.01,0.0,0.3,2.4650928762097957,0.42249607016837526,0.17139154238195856,-0.18659112538485403,0.4966887417218543,"[0.8396655652040448, 4.167768464690311, 3.332103635768033]",0.8396655652040448
